Road length in 1000s of kilometers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year,1970,1975,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
CA,755,792,831,862,884,902,0,0,0,0,0,0,0,0,0,0
MX,71,188,213,224,239,306,311,314,320,330,323,330,337,349,352,356
US,5934,6108,6143,6149,6154,6227,6239,6281,6287,6304,6335,6354,6382,6394,6406,6429
JP,1024,1068,1113,1128,1115,1142,1148,1152,1156,1162,1166,1172,1177,1183,1188,1193
KR,44,45,47,52,57,74,82,85,87,88,89,91,96,97,100,102
AU,561,629,681,729,767,809,810,811,811,814,808,810,810,811,811,811
NZ,92,93,93,93,93,92,92,92,92,92,92,92,92,92,93,93
AT,94,103,106,106,106,106,106,106,106,106,106,106,106,106,106,107
BE,94,123,125,134,140,144,145,146,146,147,148,148,149,150,151,151
CZ,56,56,56,56,56,56,56,55,55,55,55,55,55,55,56,56
DK,63,66,69,70,71,71,71,71,71,72,72,72,72,72,72,72
FI,72,74,75,76,77,78,78,78,78,78,78,78,78,78,78,78
FR,793,802,803,805,806,959,965,973,980,985,988,997,994,1001,1005,1006
DE,0,432,466,482,491,642,644,644,644,644,644,644,645,644,644,645
GR,35,37,37,37,41,41,41,41,41,41,42,42,42,42,42,42
HU,98,100,88,91,106,136,65,65,65,65,65,65,30,31,31,31
IS,11,12,12,13,12,12,12,13,13,13,13,13,13,13,13,13
IR,87,89,92,92,92,93,93,96,96,96,96,96,96,96,96,96
IT,735,749,771,791,807,826,828,830,834,837,837,839,849,860,871,871
LU,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
NL,98,105,109,112,117,122,124,126,126,127,130,132,132,133,134,135
NO,72,77,82,86,89,90,91,91,91,91,91,91,92,92,93,93
PL,295,298,299,301,363,372,375,377,381,371,373,377,372,377,379,381
PT,42,46,52,52,66,69,72,72,72,72,72,72,75,75,75,75
SK,18,18,18,18,18,42,42,43,43,43,43,43,43,43,43,43
ES,139,145,150,153,156,163,162,163,163,164,174,175,176,177,178,179
SE,125,125,129,131,134,136,138,138,138,138,138,138,138,138,138,139
CH,60,62,67,71,71,71,71,71,71,71,71,71,71,71,71,71
TR,59,59,60,59,59,61,62,62,63,63,63,63,63,63,64,64
GB,322,331,339,348,382,391,393,394,396,414,416,416,416,417,413,413